,domain,bundle,demand_side_revenue,auctions,week,weekCount
0,jwplayer.com,,5.993006599399999,58734,12,1
1,pzc.nl,,5.1999414675999995,153339,12,1
2,g4tv.com,,2.2367536946,45752,12,1
3,espn.co.uk,,1.2288983839,65407,12,1
4,bazi-calculator.com,,1.2137501137999998,2531,12,1
5,gulfnews.com,,1.0377802862,97074,12,1
6,frys.com,,0.8377463447,33098,12,1
7,theconservativefighters.com,,0.8086018619,23943,12,1
8,nextdoor.com,,0.7779437128000001,3397,12,1
9,synacor.com,,0.7414051908999999,11953,12,1
10,therobotsvoice.com,,0.6549804016,23608,12,1
11,ellentv.com,,0.6002864310000001,14217,12,1
12,fullbooks.net,,0.5426706192,6196,12,1
13,searchmabb.com,,0.517366863,6933,12,1
14,mediacombb.net,,0.5128901329000001,11911,12,1
15,shopify.com,,0.4725422069,3031,12,1
16,deliciousfoodhomemade.com,,0.45096514500000007,2776,12,1
17,divinacocina.es,,0.44824620490000006,17121,12,1
18,cwseed.com,,0.43663118480000007,21606,12,1
19,astroreveal.com,,0.42984549070000017,6462,12,1
20,tenorshare.com,,0.3280762558,2812,12,1
21,tnonline.com,,0.313720784,148,12,1
22,shophelp.ru,,0.310196637,364,12,1
23,expectantmom.com,,0.2675923828,28456,12,1
24,ksby.com,,0.22021659620000003,3752,12,1
25,Tvdosti.me,,0.18657644610000002,12229,12,1
26,clasificados.com,,0.176354478,3015,12,1
27,taxact.com,,0.16501773349999996,60,12,1
28,dangerous.com,,0.1502779718,154,12,1
29,timescall.com,,0.13121917560000002,2917,12,1
30,7novels.com,,0.11465273,10473,12,1
31,thenutritionwatchdog.com,,0.114031683,68,12,1
32,www.ripoffreport.com,,0.11294344719999999,1233,12,1
33,irs.com,,0.11186268189999998,2657,12,1
34,frontlinevideos.com,,0.11115411479999998,3287,12,1
35,readkingdom.com,,0.10475443499999999,1275,12,1
36,nonprofitaf.com,,0.1047472962,3389,12,1
37,dicelacancion.com,,0.0988036576,392,12,1
38,christianchannel.us,,0.0987863904,1709,12,1
39,crestonnews.com,,0.09777080599999999,1062,12,1
40,cat-world.com.au,,0.09652568579999998,2678,12,1
41,bestthingsme.com,,0.09646320039999998,820,12,1
42,greenbuildingadvisor.com,,0.0964021182,1381,12,1
43,argos.co.uk,,0.08792862289999999,10200,12,1
44,crackact.com,,0.08411274319999999,882,12,1
45,huskiewire.com,,0.0834901835,4062,12,1
46,hodges-directory.us,,0.08027797179999999,1148,12,1
47,gagatrends.com,,0.08018317450000001,1372,12,1
48,jumbleanswer.com,,0.079742766,189,12,1
49,videopoker.com,,0.0792684475,1719,12,1
50,examiner.org,,0.07760001,700,12,1
51,mobymax.com,,0.07582523249999999,3022,12,1
52,Dramaonline.com,,0.07335199099999999,1761,12,1
53,freejinger.org,,0.0729230018,3750,12,1
54,creativeuncut.com,,0.0716592685,158,12,1
55,humoretc.com,,0.065999994,7,12,1
56,smart-publications.com,,0.065967256,10,12,1
57,highschoolstorydb.com,,0.062038516,21,12,1
58,iconichistoricalphotos.com,,0.060625635,2536,12,1
59,kaleva.fi,,0.0600556593,10890,12,1
60,f1.sk,,0.057799284,25,12,1
61,sentinelandenterprise.com,,0.0564539402,2059,12,1
62,bricogeek.com,,0.055254792600000005,2791,12,1
63,eschatonblog.com,,0.052946034999999995,5774,12,1
64,onitube.com,,0.049377784499999994,13,12,1
65,pixiv.org,,0.048019629999999994,1529,12,1
66,ihindistop.com,,0.047207225500000005,3870,12,1
67,iaai.com,,0.044525253,2652,12,1
68,thealpenanews.com,,0.044306819,181,12,1
69,coachingtoolbox.net,,0.0425458716,3024,12,1
70,atsmods.com,,0.0425151543,1787,12,1
71,http://www.foxnews.com/,,0.0424897426,6492,12,1
72,kidshaircuts.net,,0.042362763,12,12,1
73,destination360.com,,0.0419366032,3729,12,1
74,prospectos.net,,0.041901774,215,12,1
75,aviationfigure.net,,0.041901774,569,12,1
76,okeechobeenews.net,,0.041901773999999996,1325,12,1
77,chasingabetterlife.com,,0.040038519999999994,232,12,1
78,gamerdan.com,,0.039967256,14,12,1
79,totalsport.me,,0.0371017476,2185,12,1
80,www.findagrave.com,,0.0367555605,683,12,1
81,hemailloginnow.com,,0.036252125999999996,2123,12,1
82,bigbangempire.com,,0.035350747,23,12,1
83,etsy.com,,0.035261712,2899,12,1
84,golfalot.com,,0.034918145,1947,12,1
85,comparesurfboards.com,,0.034622757000000004,516,12,1
86,thelocalne.ws,,0.033054889,20,12,1
87,bitfun.co,,0.032134069,1871,12,1
88,hyourpdfconverternow.com,,0.031707379,2128,12,1
89,old.findagrave.com,,0.0311851895,1011,12,1
90,kora-online.tv,,0.0303569025,1540,12,1
91,capegazette.com,,0.028350457199999998,838,12,1
92,dailyjobcuts.com,,0.028010970000000003,27,12,1
93,xn--v8j5erc.top,,0.027934516,16,12,1
94,alivefoot.us,,0.0276734033,1807,12,1
95,reporterherald.com,,0.0276734033,2068,12,1
96,youarecurrent.com,,0.02754946,1,12,1
97,searchlff.com,,0.027054084,2782,12,1
98,Verve_App_xAPI,,0.02693104,2,12,1
99,publicdomainvectors.org,,0.026447054,14,12,1
100,descoperalumea.net,,0.025999998,2,12,1
101,thesmittenhome.com,,0.025999998,2,12,1
102,iseeidoimake.com,,0.0255093148,850,12,1
103,beautythings.info,,0.025386594000000002,2080,12,1
104,fusioncash.net,,0.025386594000000002,1384,12,1
105,herloyalsons.com,,0.0243504562,191,12,1
106,www.shmoop.com,,0.0241333362,518,12,1
107,allthatsfab.com,,0.0239580604,1607,12,1
108,ticklingpalates.com,,0.023489376,58,12,1
109,site9993-364297adtech.com,,0.023274565,2189,12,1
110,cctv.com,,0.022936027,2479,12,1
111,sportingnews9.com,,0.022936027,2550,12,1
112,lifenews.com,,0.022887258,58,12,1
113,stopusifyoucan.com,,0.0228063695,3229,12,1
114,speedvid.net,,0.0222626265,23,12,1
115,trashscanlations.com,,0.020950887,317,12,1
116,alfafile.net,,0.020922560700000002,2007,12,1
117,theastrocodex.com,,0.020080109999999998,38,12,1
118,libertyonetv.com,,0.0189364786,1933,12,1
119,mailtribune.com,,0.0186709015,1099,12,1
120,http://mopub2_3.gm2tanbsgy4dana.com,,0.0186150594,1950,12,1
121,6abc.com,,0.018396084,137,12,1
122,allthingsitalianandmore.club,,0.018192595,10,12,1
123,sugarmtnfarm.com,,0.0178222245,72,12,1
124,daniellesplace.com,,0.017822224499999997,8,12,1
125,brainline.org,,0.0176460232,1153,12,1
126,stilltasty.com,,0.0174677794,3004,12,1
127,hometogo.com,,0.017292318,133,12,1
128,goodmoodhome.com,,0.017292318,2591,12,1
129,dotsub.com,,0.017292318,979,12,1
130,chiefsupdate.com,,0.016993555999999996,15,12,1
131,searchwfaa.com,,0.016865628,974,12,1
132,goblinscomic.com,,0.016766715,1722,12,1
133,windows.net,,0.016766715,2141,12,1
134,inspiringday.com,,0.016654856,134,12,1
135,lawyersgunsmoneyblog.com,,0.0164992043,3585,12,1
136,spellingcity.com,,0.016188552000000002,1393,12,1
137,americanas.com.br,,0.0160788755,2477,12,1
138,jubanti.com,,0.0159846,15,12,1
139,brownpapertickets.com,,0.015515151500000001,2019,12,1
140,slack.com,,0.015515151500000001,357,12,1
141,coin.mg,,0.015183656600000001,2441,12,1
142,annistonstar.com,,0.014841751,26,12,1
143,cartoonmad.com,,0.014841751,91,12,1
144,winthropvikings.com,,0.014109782,9,12,1
145,WorldCraft : 3D Build,,0.01403884,1110,12,1
146,enworld.org,,0.014038519999999999,162,12,1
147,Mahjong Free!!,,0.014,81,12,1
148,browniebites.net,,0.013967258,34,12,1
149,zalajkowane.pl,,0.013967258,26,12,1
150,wikimapia.org,,0.0135016852,1621,12,1
151,04-edito-mtf-laplacemedia-3.fr,,0.0129912462,2009,12,1
152,http://mopub2_3.gqzdsnrrga2tqny.com,,0.0128033409,8934,12,1
153,vvcast.tv,,0.012730159999999999,36,12,1
154,todae.fr,,0.012622224,13,12,1
155,lefthandedcrocheter.com,,0.0123504572,183,12,1
156,labanderanoticias.com,,0.0123504572,1537,12,1
157,lazerhorse.org,,0.012288080600000001,561,12,1
158,gloucestercitynews.net,,0.0122518535,2,12,1
159,dodgetalk.com,,0.0122518535,75,12,1
160,email-junk.com,,0.0122518535,4,12,1
161,bottle-spot.com,,0.0122518535,173,12,1
162,keytostudy.com,,0.0122518535,12,12,1
163,math-drills.com,,0.012225704,18,12,1
164,dottotrot.com,,0.011999999,2,12,1
165,www.wildtangent.com,,0.011881483,37,12,1
166,khq.com,,0.011881483,78,12,1
167,dollarcollapse.com,,0.011881483,35,12,1
168,dotahut.com,,0.011881483,22,12,1
169,bargainblessings.com,,0.011881483,86,12,1
170,My Tamagotchi Forever,,0.011588590999999999,447,12,1
171,thesports4u.net,,0.011511112300000001,102,12,1
172,chulsu.net,,0.011417304,152,12,1
173,spinner boost_low_300x250,,0.0106223526,1167,12,1
174,carparts.com,,0.01056,6,12,1
175,Beauty Photo,,0.010093367999999998,444,12,1
176,radiocoalition.org,,0.009198042,9,12,1
177,rlfans.com,,0.009198042,1052,12,1
178,coinstudy.com,,0.009198042,2,12,1
179,teacherspayteachers.com,,0.009198042,1320,12,1
180,floridabeachbar.com,,0.008919999999999999,10,12,1
181,seis.org,,0.008432814,2,12,1
182,homeadvisor.com,,0.008432814,4,12,1
183,ziprecruiter.com,,0.008432814,20,12,1
184,egirlgames.net,,0.008094276000000001,2,12,1
185,ntreis.net,,0.008094276000000001,1,12,1
186,onetravel.com,,0.008094276000000001,34,12,1
187,fitandhappy.org,,0.008094276000000001,50,12,1
188,searchipdf.com,,0.008094276000000001,5,12,1
189,whopassedon.com,,0.008094276000000001,1,12,1
190,poconoraceway.com,,0.008094276000000001,1,12,1
191,phantasytour.com,,0.008094276000000001,19,12,1
192,laredoute.com,,0.008094276000000001,12,12,1
193,amctheatres.com,,0.008094276000000001,7,12,1
194,morningstar.com,,0.008094276000000001,18,12,1
195,ulta.com,,0.008094276000000001,5,12,1
196,"Tunein_iOS_Tunein_iOS_300x250_ROW_Tier 1_iOS_MEDIUMRECTANGLE_300x250_IAB1-6,IAB1",,0.008058287999999999,282,12,1
197,http://nexage2.gmytsobygeytsmy.com,,0.0077068519000000005,2554,12,1
198,dog-obedience-training-review.com,,0.0074999995,2,12,1
199,painttalk.com,,0.0074999995,1,12,1
200,experienceproject.com,,0.0074208755,3363,12,1
201,americangirl.com,,0.0074208755,3,12,1
202,kinooblako.com,,0.0074208755,3,12,1
203,fharateguide.com,,0.0074208755,3,12,1
204,cookinglightdiet.com,,0.0074208755,101,12,1
205,legalinsurrection.com,,0.0074208755,99,12,1
206,berettausa.com,,0.0074208755,3,12,1
207,kingjamesbibleonline.org,,0.0074208755,17,12,1
208,pizzahut.com,,0.0074208755,44,12,1
209,toledogasprices.com,,0.0074208755,6,12,1
210,news12.com,,0.0074208755,2110,12,1
211,papajohns.com,,0.0074208755,15,12,1
212,buffzone.com,,0.0074074073,2366,12,1
213,bestrecipesww.com,,0.007054891,22,12,1
214,moonandspoonandyum.com,,0.007054891,15,12,1
215,catholicfaithstore.com,,0.007054891,21,12,1
216,shenhuagushi.net,,0.007054891,19,12,1
217,thetvtraveler.com,,0.007054891,2,12,1
218,fancyashley.com,,0.007054891,4,12,1
219,decorchick.com,,0.007054891,4,12,1
220,Default Music Player -GO Music,,0.007,505,12,1
